date,open,high,low,close,volume,change_pct
2024-01-02,7.22,7.58,7.22,7.54,70604045.0,
2024-01-03,7.52,7.89,7.46,7.86,89246665.0,4.244031830238737
2024-01-04,7.85,7.96,7.7,7.94,66736672.0,1.0178117048346147
2024-01-05,7.87,8.06,7.81,7.87,66348133.0,-0.8816120906801062
2024-01-08,7.83,8.04,7.74,7.97,61389936.0,1.270648030495547
2024-01-09,7.96,8.09,7.82,8.06,52345629.0,1.129234629861986
2024-01-10,8.03,8.18,7.99,8.09,37658762.0,0.3722084367245637
2024-01-11,8.08,8.09,7.86,7.89,59359391.0,-2.4721878862793645
2024-01-12,7.89,8.04,7.86,7.97,37927285.0,1.0139416983523386
2024-01-15,7.96,8.16,7.92,8.12,51319376.0,1.8820577164366359
2024-01-16,8.04,8.22,7.97,8.16,46614596.0,0.49261083743843415
2024-01-17,8.15,8.21,8.06,8.06,30318204.0,-1.225490196078427
2024-01-18,8.04,8.1,7.71,7.96,76745742.0,-1.2406947890818976
2024-01-19,7.93,7.94,7.64,7.71,83220645.0,-3.1407035175879394
2024-01-22,7.69,7.81,7.54,7.6,52927461.0,-1.4267185473411215
2024-01-23,7.58,7.86,7.45,7.78,53446713.0,2.3684210526315974
2024-01-24,7.82,7.99,7.74,7.97,42729342.0,2.4421593830334043
2024-01-25,7.99,8.2,7.92,8.2,45176340.0,2.885821831869495
2024-01-26,8.15,8.38,8.12,8.37,50491398.0,2.073170731707319
2024-01-29,8.39,8.61,8.31,8.41,61524414.0,0.4778972520908198
2024-01-30,8.36,8.41,8.2,8.25,43909984.0,-1.9024970273483932
2024-01-31,7.87,8.43,7.79,8.26,104902021.0,0.12121212121212199
2024-02-01,8.19,8.2,7.94,8.01,61618549.0,-3.0266343825665842
2024-02-02,8.01,8.29,7.94,8.17,53919894.0,1.9975031210986316
2024-02-05,8.16,8.39,7.98,8.06,73583595.0,-1.3463892288861579
2024-02-06,8.05,8.2,7.84,8.06,64468774.0,0.0
2024-02-07,8.05,8.06,7.75,8.04,73882874.0,-0.24813895781639062
2024-02-08,7.87,8.24,7.8,8.24,51787996.0,2.4875621890547484
2024-02-19,8.26,8.48,8.19,8.48,49008813.0,2.9126213592232997
2024-02-20,8.41,8.66,8.32,8.44,42238798.0,-0.4716981132075526
2024-02-21,8.42,8.53,8.27,8.31,58673591.0,-1.5402843601895588
2024-02-22,8.28,8.47,8.25,8.47,49504973.0,1.9253910950661979
2024-02-23,8.46,8.58,8.4,8.47,48945486.0,0.0
